id,patrol_id,lat,long,datetime,title,description,likelihood_of_crime,type_of_crime_most_feared,type_of_crime_other
314,Patrol object (125),49.269695000,-123.069760100,2021-07-23 18:09:08.093704+00:00,Grafiti,Grafiti on floor and walls and traffic,1,1,
313,Patrol object (124),49.267559100,-123.069812800,2021-07-23 04:02:29.632868+00:00,Sidewalk,"Graffiti
Garbage
Dog waste
Old Christmas lm light s hanging from tree",4,2,
312,Patrol object (124),49.269656800,-123.069958700,2021-07-23 03:40:04.579090+00:00,Naked walk,"People walking with open alcohol
Litter
Naked transgender person crossing the intersection",4,4,
311,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.996361+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
310,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.883979+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
309,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.881786+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
308,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.862123+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
307,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.859461+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
306,Patrol object (124),49.272888600,-123.069691600,2021-07-23 03:27:12.152949+00:00,Grandview Park,"Bbq on table, lady passed out with beer in hand.
. Large group drinking in park",4,2,
305,Patrol object (124),49.271589300,-123.071434300,2021-07-23 03:15:32.527530+00:00,Litter,discarded car parts,4,5,Abandoned bumper from car and graffiti
304,Patrol object (124),49.269114500,-123.069767200,2021-07-23 03:06:12.329954+00:00,Crowded sidewalk,Cofee shop large group of people blocking sidewalk not allowing disabled people through. Broken planters along sidewalk broken,2,2,
303,Patrol object (122),49.282049800,-123.133736500,2021-07-22 23:44:57.250265+00:00,1238 Davie,Burglars may break into businesses and cars. Homeless people may sleep in front of businesses.,2,5,Mental health
302,Patrol object (122),49.282876400,-123.131868800,2021-07-22 23:41:23.018171+00:00,Jepson young lane 1200,Potential for car break ins and property break ins.,4,1,
301,Patrol object (122),49.284325900,-123.129795200,2021-07-22 23:21:21.555260+00:00,Ted northe lane 1200,Someone may break into houses or cars,4,1,
300,Patrol object (122),49.285628300,-123.131758500,2021-07-22 23:18:05.963959+00:00,Ted North lane 1300 block,Chance of car car break in.,4,1,
299,Patrol object (122),49.286879600,-123.133773200,2021-07-22 23:14:31.171288+00:00,Ted North ln 1400,There is a chance that someone will break into cars,4,1,
298,Patrol object (122),49.288294700,-123.132766000,2021-07-22 23:10:46.930550+00:00,1540 Haro,Someone may break into a car or a ground suite,4,1,
297,Patrol object (122),49.289600000,-123.134754900,2021-07-22 23:07:29.267948+00:00,800 Bidwell,Someone could break into a ground floor apartment. Someone could break into the parked cars,4,1,
296,Patrol object (122),49.290869800,-123.136387800,2021-07-22 23:04:06.705162+00:00,Haro and Denman (800 block),Someone could break into True Confections (a dessert restaurant).,3,1,
295,Patrol object (122),49.287044000,-123.131597500,2021-07-22 22:54:25.574893+00:00,Intersection of Broughton and haro,800 block of Broughton and Haro. A few houses have bushes around them. Burglars or criminals can easily hide behind these bushes. It is important to introduce CPTED principles here.,5,1,
294,Patrol object (122),49.285887600,-123.133022900,2021-07-22 22:49:10.524744+00:00,Intersection of Nelson and Broughton,"Residential area, small chance of general mischief in what could be previewed as a low crime area. Cars are parked outside of houses in the area which could lead to general mischief.",3,2,
293,Patrol object (122),49.283735300,-123.135312000,2021-07-22 22:41:38.056086+00:00,See-em-ia,"Construction going on, potential to steal tools. Highest risk is theft",4,1,
292,Patrol object (119),49.267208500,-123.069908400,2021-07-22 01:10:58.958571+00:00,NA,NA,3,3,
291,Patrol object (121),49.279025900,-123.133273200,2021-07-21 19:15:01.472564+00:00,Nothing,Nothing,2,3,
290,Patrol object (121),49.280540300,-123.135471400,2021-07-21 19:08:40.272235+00:00,Nothing,Nothing,1,1,
289,Patrol object (121),49.283286700,-123.141115800,2021-07-21 18:58:47.844323+00:00,Nothing,Nothing,2,3,
288,Patrol object (121),49.280575900,-123.138957400,2021-07-21 18:49:08.196846+00:00,Nothing,Nothing,1,3,
287,Patrol object (121),49.277185700,-123.133701300,2021-07-21 18:29:10.130210+00:00,Nothing,Nothing,2,3,
286,Patrol object (121),49.279568200,-123.132928500,2021-07-21 18:18:18.370464+00:00,Needles,Used needles on the ground,4,3,
285,Patrol object (120),49.273607000,-123.071387200,2021-07-20 20:03:25.848968+00:00,Southwest of Grandview park,Garbage littered around,1,2,
284,Patrol object (120),49.272179000,-123.070312000,2021-07-20 19:59:00.730935+00:00,Commercial and kitchener,"Laneway to back alley, graffiti",3,4,
283,Patrol object (120),49.269805300,-123.073336800,2021-07-20 19:53:10.794647+00:00,Woodland Dr and East first avenue,"Graffiti on night posts, graffiti on signs, knocked down construction sign",3,5,"Auto accident, busy intersection"
282,Patrol object (120),49.271354100,-123.067944200,2021-07-20 19:32:26.190100+00:00,South end of victoria park,"Graffiti on street signs, graffiti on book exchange box, some garbage",1,2,
281,Patrol object (120),49.274743400,-123.069763900,2021-07-20 19:09:16.545922+00:00,Britannia community centre,"Graffiti on street signs, stop sign in bad condition peeling off",2,5,Loitering or trespassing
280,Patrol object (120),49.270507800,-123.070240300,2021-07-20 18:56:51.668615+00:00,Home Hardware parking,"Laneway and busy parking lot
Graffiti on signs,
Litter",2,2,
279,Patrol object (115),49.271539000,-123.065837100,2021-07-16 18:18:14.553607+00:00,"Victoria park, dirty park,","Family playing on park, the park is dirty",2,2,
278,Patrol object (115),49.273237400,-123.065809400,2021-07-16 18:13:49.645023+00:00,Building supplies left outside,Building supplies left outside,1,1,
277,Patrol object (115),49.275438600,-123.066003600,2021-07-16 18:07:30.470969+00:00,"Quiet neighborhood, graffiti","Busy Intersection, graffiti on power box",1,2,
276,Patrol object (115),49.277735500,-123.065879900,2021-07-16 18:03:04.255407+00:00,"Dog droppings,",Lots of dog droppings on the ground,1,2,
275,Patrol object (115),49.279404000,-123.066741000,2021-07-16 17:58:37.160214+00:00,"Masks on ground, underground parking lot","Bad car parking, lots of garbage and masks on the grohnd",2,1,
274,Patrol object (115),49.279448800,-123.069009800,2021-07-16 17:54:50.635881+00:00,"Garbage, broken fire hydrant","Lots of garbage on the ground, broken rusted fire hydrant, quiet neighborhood,",2,2,
273,Patrol object (115),49.276561300,-123.070868300,2021-07-16 17:33:32.331546+00:00,"Graffiti, garbage, parking lot","Lots of Graffiti on the wall, garbage on ground, people drinking beer",2,2,
272,Patrol object (115),49.269593400,-123.069853100,2021-07-16 17:14:20.668758+00:00,Traffic and graffiti,"Busy intersection, graffiti on poles",2,2,
271,Patrol object (116),49.265595200,-123.066006900,2021-07-15 01:45:23.088802+00:00,East of McSpadden Park,"Graffiti, homeless population, shaded dark areas along fence.",4,4,
270,Patrol object (116),49.273568600,-123.067500000,2021-07-15 01:24:51.413511+00:00,1220 Salsbury Drive,"Graffiti, damaged property on home.",2,3,
269,Patrol object (116),49.271967400,-123.068598200,2021-07-15 01:14:08.232402+00:00,1742 kitchener,Graffiti,2,3,
268,Patrol object (116),49.270832900,-123.069462400,2021-07-15 01:02:59.609697+00:00,In front of BC Liquor store,"Graffiti, homeless population gathering and asking for money, poorly maintained buildings.",4,1,
267,Patrol object (116),49.270380200,-123.066829300,2021-07-15 00:58:24.078273+00:00,Salsbury and Graveley,"Graffiti, metal bars on homes, overgrown lots.",2,3,
266,Patrol object (116),49.268596300,-123.068750600,2021-07-15 00:47:31.408142+00:00,Alley behind Sol y limon,"Graffiti, garbage, overgrown lots, homeless population.",4,2,
265,Patrol object (116),49.268329200,-123.066651200,2021-07-15 00:42:26.503523+00:00,Alley behind fire hall.,"Open doors, steel doors, graffiti.",4,1,
264,Patrol object (116),49.267068300,-123.066630900,2021-07-15 00:32:10.802710+00:00,McSpadden Park,"Graffiti, litter, homeless, broken fence.",4,4,
263,Patrol object (116),49.267225200,-123.069821700,2021-07-15 00:20:08.954628+00:00,GWCPC,Graffiti,3,2,
262,Patrol object (116),49.264195400,-123.069761900,2021-07-15 00:10:06.289214+00:00,City Avenue Market,"Graffiti, closed business, barbed wire. Just",4,1,
261,Patrol object (111),49.265471900,-123.065900800,2021-07-13 01:11:46.532219+00:00,McSpadden Park,"Park setting:  people gathering in Park, smoking in parks.",3,3,
260,Patrol object (111),49.266989900,-123.067635500,2021-07-13 01:04:27.206408+00:00,Neighbours chatting on the street,"Group of neighbours talking on 4th Ave East, open jeep with items inside",4,1,
259,Patrol object (109),49.267187500,-123.069829800,2021-07-12 22:30:00.563532+00:00,GWCPC,Friendly and welcoming environment,2,2,
258,Patrol object (109),49.266057300,-123.075259400,2021-07-12 22:19:15.148389+00:00,Community garden,"Something that will kill you graffiti, 2 x 2l Growers coolers,random beer cans,pipe,used condoms",5,2,
257,Patrol object (109),49.265334200,-123.073549700,2021-07-12 22:10:53.939021+00:00,Woodland School,Little bit of litter and graffiti,2,2,
256,Patrol object (109),49.265452200,-123.070315000,2021-07-12 21:51:27.105228+00:00,Bowling alley,"Behind Bowling Alley ""knives"" graffiti on. Bowling Alley, lots of Graffiti in laneway that has been covered,litter and debris in laneway, construction going obstructing view, an affitional run down home with unkept yard",4,2,
255,Patrol object (107),49.274824400,-123.058262900,2021-07-09 16:18:16.742422+00:00,Test 4,Good distance from last,1,1,
254,Patrol object (107),49.274848300,-123.060602200,2021-07-09 16:13:33.124508+00:00,Test 3,4 blocks a bit far,1,3,
253,Patrol object (107),49.277438500,-123.061293400,2021-07-09 16:03:18.060318+00:00,Test 2,2 blocks _ good distance from the last one,2,4,
252,Patrol object (107),49.277909900,-123.059079100,2021-07-09 15:58:25.199519+00:00,Test 1,5 blocks from start point _ too far,1,5,No crime
251,Patrol object (102),49.283422600,-123.133816600,2021-07-07 23:40:51.806010+00:00,One way street,Drivers driving in opposite direction of one way st,5,5,Car crash
250,Patrol object (102),49.283309200,-123.131440100,2021-07-07 23:37:43.643351+00:00,Nelson park,Nelson park - alcohol and drugs use,4,1,
249,Patrol object (102),49.284667700,-123.133622500,2021-07-07 23:34:24.992182+00:00,Nothing,Nothing,2,3,
248,Patrol object (102),49.284089500,-123.135684800,2021-07-07 23:31:24.039925+00:00,Cars speeding,Cars speeding in back ln See em is between Jervis and Broughton,5,5,"Cars speeding, heavy traffic in back ln"
247,Patrol object (102),49.283927300,-123.139136500,2021-07-07 23:15:25.739380+00:00,Nothing,Nothing,1,3,
246,Patrol object (102),49.288045500,-123.141087500,2021-07-07 23:06:41.207867+00:00,Nothing,Nothing,2,2,
245,Patrol object (103),49.276296300,-123.056793500,2021-07-07 22:58:19.801671+00:00,3 more minutes,10 blocks,1,3,
244,Patrol object (102),49.291434700,-123.143886100,2021-07-07 22:56:13.018890+00:00,Nothing,Nothing,2,1,
243,Patrol object (103),49.273316700,-123.059825700,2021-07-07 22:53:52.348277+00:00,6 blocks 3 minute,Test case,1,1,
242,Patrol object (102),49.290355700,-123.141501400,2021-07-07 22:52:38.859392+00:00,Nothing,Nothing,3,3,
241,Patrol object (102),49.286615300,-123.135472300,2021-07-07 22:41:37.250096+00:00,Graffity,Graffity,2,3,
240,Patrol object (102),49.288463000,-123.131607000,2021-07-07 22:32:40.438674+00:00,Nothing,Nothing,3,3,
239,Patrol object (102),49.286628800,-123.129285000,2021-07-07 22:25:42.638147+00:00,Nothing,Nothing,3,3,
238,Patrol object (102),49.285055700,-123.128499700,2021-07-07 22:21:39.879266+00:00,Graffity,Graffity,3,3,
237,Patrol object (102),49.283542100,-123.126564300,2021-07-07 22:18:28.454465+00:00,Nothing,Nothing,1,3,
236,Patrol object (102),49.282371800,-123.128561400,2021-07-07 22:15:23.262147+00:00,Graffity,Graffity,4,3,
235,Patrol object (102),49.279991700,-123.127788600,2021-07-07 22:10:40.768549+00:00,Drug use on the street - St Paul's Hosp,Drug use on the street - St Paul's Hosp,4,4,
234,Patrol object (101),49.280789100,-123.072603000,2021-07-07 21:40:15.049957+00:00,Observation 2,Drove here from the last observation _ not realistic,4,2,
233,Patrol object (101),49.270638700,-123.070013500,2021-07-07 21:13:46.120771+00:00,Observation test,First observation,1,1,
232,Patrol object (100),49.266981900,-123.071736100,2021-07-06 18:21:06.500281+00:00,Dirty cars,Open windows,1,3,
231,Patrol object (100),49.267873300,-123.073475000,2021-07-06 18:17:31.693786+00:00,Graffiti,Graffiti on poles and litter on the ground,1,1,
230,Patrol object (100),49.270202900,-123.073468000,2021-07-06 18:13:22.580640+00:00,Graffiti,Graffiti on poles,1,3,
229,Patrol object (100),49.272018800,-123.073522000,2021-07-06 18:10:11.057596+00:00,Graffiti,"Graffiti on poles, quiet neighborhood",1,3,
228,Patrol object (100),49.272018800,-123.073522000,2021-07-06 18:10:08.767861+00:00,Graffiti,"Graffiti on poles, quiet neighborhood",1,3,
227,Patrol object (100),49.275809100,-123.071487700,2021-07-06 18:01:27.876849+00:00,Parking lot,Garbage,1,2,
226,Patrol object (100),49.275070900,-123.069584900,2021-07-06 17:58:03.466404+00:00,Graffiti,"Graffiti on the wall, people drinking coffee",1,2,
225,Patrol object (100),49.272488200,-123.069658700,2021-07-06 17:54:21.705314+00:00,homeless people,"Lots of homeless people, smoking cigarettes and marijuana. Alcohol use. Graffiti and garbage on the ground",4,2,
224,Patrol object (100),49.269403700,-123.069718500,2021-07-06 17:47:01.036799+00:00,Ambulance traffic and graffiti,Graffiti on the ground and poles and ambulance checking up on the store. Lots of traffic in intersection,2,5,Traffic related crime
223,Patrol object (99),49.278341500,-123.130460300,2021-07-05 19:44:33.684529+00:00,Burrard cornerstone,Retail store,5,1,
222,Patrol object (99),49.279760500,-123.130218000,2021-07-05 19:27:06.080041+00:00,Businesses,"Davie & Burrard. Many retail and grocery stores, as well as restaurants.",4,1,
221,Patrol object (99),49.280283300,-123.127618300,2021-07-05 19:20:05.961576+00:00,St Paul Hospital,Patients with mental health issues and homeless people camping around the hospital,5,5,Shooting up drugs
220,Patrol object (99),49.282250100,-123.124458700,2021-07-05 19:14:23.049180+00:00,IGA front,grocery store  with no security,4,1,
219,Patrol object (99),49.283240200,-123.122872700,2021-07-05 19:03:33.729737+00:00,Open garbage bin,At Robson and Burrard. Looks like someone broke it open and tried to get stuff from the bin,5,2,
218,Patrol object (99),49.284396500,-123.124417800,2021-07-05 18:59:07.031248+00:00,Cars,Robson & Thurlow,4,5,Theft from auto
217,Patrol object (99),49.286266000,-123.126966300,2021-07-05 18:54:15.964617+00:00,Sidewalk,Robson and Bute intersection.,4,2,
216,Patrol object (99),49.287532600,-123.129428100,2021-07-05 18:49:21.773074+00:00,Outdoor patio,Restaurant outdoor patios,3,1,
215,Patrol object (99),49.289423900,-123.132255200,2021-07-05 18:44:39.868181+00:00,Restaurants,Many restaurants on Robson & Cardero. Restaurants have decent security,2,1,
214,Patrol object (99),49.291028500,-123.134889900,2021-07-05 18:38:38.693038+00:00,Cars,Many parked cars along Denman & Robson.,4,5,Theft from auto
213,Patrol object (99),49.290110100,-123.137661400,2021-07-05 18:32:26.365754+00:00,Intersection,"Denman & Barclay. School zone, speed limit 30km/h",4,5,Speeding
212,Patrol object (99),49.288792300,-123.139004300,2021-07-05 18:27:17.715240+00:00,Nothing prominent,At Denman mall. Everything is well kept and clean.,1,1,
211,Patrol object (99),49.287704600,-123.141074200,2021-07-05 18:22:59.525188+00:00,Restaurant,Outdoor patio from Falafel restaurant (Denman & Pendrell),3,1,
210,Patrol object (99),49.285764300,-123.138871800,2021-07-05 18:16:30.741461+00:00,Litter,Minor littering occured in front of Safeway (Cadero & Davie).,5,1,
209,Patrol object (96),49.286557800,-123.140944300,2021-07-03 22:52:12.290510+00:00,Nothing,Nothing,3,1,
208,Patrol object (96),49.284922400,-123.136777700,2021-07-03 22:43:58.891376+00:00,Nothing,Nothing,1,4,
207,Patrol object (96),49.286180100,-123.134725400,2021-07-03 22:40:45.864013+00:00,Nothing,Nothing,2,3,
206,Patrol object (96),49.286130200,-123.132380100,2021-07-03 22:37:35.394284+00:00,Nothing,Nothing,2,3,
205,Patrol object (96),49.284562800,-123.129299200,2021-07-03 22:33:34.570526+00:00,Nothing,Nothing,1,3,
204,Patrol object (96),49.286088100,-123.130878300,2021-07-03 22:30:31.951390+00:00,Graffity,Graffity on the pole and wall,3,3,
203,Patrol object (96),49.286398500,-123.132921900,2021-07-03 22:27:00.628668+00:00,Nothing,Nothing,2,3,
202,Patrol object (96),49.287858100,-123.134717500,2021-07-03 22:23:51.742449+00:00,Nothing,Nothing,1,2,
201,Patrol object (96),49.290683500,-123.144893000,2021-07-03 22:07:29.390868+00:00,Nothing,Nothing,2,3,
200,Patrol object (96),49.288924700,-123.142231100,2021-07-03 22:03:45.024806+00:00,Nothing,Nothing,1,1,
199,Patrol object (96),49.287185200,-123.142806900,2021-07-03 22:00:26.883704+00:00,Nothing,Nothing,1,1,
198,Patrol object (96),49.285813200,-123.142710600,2021-07-03 21:57:21.906609+00:00,Nothing,Nothing,1,2,
197,Patrol object (96),49.284527100,-123.141753300,2021-07-03 21:54:11.909294+00:00,Nothing,Nothing,1,2,
196,Patrol object (96),49.283539900,-123.139428300,2021-07-03 21:50:51.158000+00:00,Illegal dumping,"Illegal dumping - furniture, matress",3,2,
195,Patrol object (96),49.281984900,-123.136950500,2021-07-03 21:46:55.601206+00:00,Graffity,Graffity in the back alley,3,3,
194,Patrol object (96),49.280647800,-123.135011500,2021-07-03 21:43:15.068919+00:00,Nothing,Nothing,1,5,N/A
193,Patrol object (96),49.279937000,-123.132626200,2021-07-03 21:39:37.404053+00:00,Hostel,City accommodation for people experiencing homelessness,4,1,
192,Patrol object (96),49.281185900,-123.134054400,2021-07-03 21:28:56.150963+00:00,Nothing,Nothing,1,5,N/A
191,Patrol object (95),49.275502400,-123.074446400,2021-07-03 18:27:49.390420+00:00,Graffiti on painted walls,"Graffiti on murals and wooden pole, shaded dark area",3,2,
190,Patrol object (95),49.274018400,-123.073383100,2021-07-03 18:17:56.410085+00:00,Graffiti on school wall,"Graffiti states ""fuck the vpd""",3,2,
189,Patrol object (95),49.273837600,-123.069840200,2021-07-03 18:07:54.040845+00:00,"Tents, drinking alcohol park","Group of indigenous people sitting in the middle of the park smoking and drinking, lots of garbage and clothes on the ground",4,2,
188,Patrol object (95),49.272140400,-123.067901100,2021-07-03 17:56:17.699122+00:00,Graffiti on poles,"Graffiti on poles in a quiet neighborhood, smells very bad",2,2,
187,Patrol object (95),49.271588400,-123.065982000,2021-07-03 17:50:42.036166+00:00,Two males smoking on bench,"Victoria park, families on playground, two males smoking on bench, graffiti on sign",2,3,
186,Patrol object (95),49.269446800,-123.065995000,2021-07-03 17:44:31.901455+00:00,Graffiti on poles,"Intersection, speeding cars",2,5,Car related crime
185,Patrol object (95),49.266456800,-123.067111600,2021-07-03 17:23:45.813975+00:00,Middle of Park,"Graffiti on wooden poles and benches, lots of families, children on playgrounds",1,2,
184,Patrol object (94),49.282223700,-123.133019000,2021-07-02 22:13:49.563554+00:00,Alcohol,People drinking alcohol in front of Liquor store,4,4,
183,Patrol object (94),49.283228400,-123.131162300,2021-07-02 22:09:40.102487+00:00,Nothing to report,Nothing to report,2,4,
182,Patrol object (94),49.285436800,-123.133661500,2021-07-02 22:00:42.620928+00:00,Nothing to report,Nothing suspicious to report,1,2,
181,Patrol object (94),49.287631700,-123.138452600,2021-07-02 21:53:27.778653+00:00,Graffity,Graffity on the electrical box,3,1,
180,Patrol object (94),49.288555700,-123.136515800,2021-07-02 21:40:51.368993+00:00,6,Couple graffiti,1,2,
179,Patrol object (94),49.287595900,-123.134919100,2021-07-02 21:36:19.141902+00:00,5,All great,1,2,
178,Patrol object (94),49.286445800,-123.132931300,2021-07-02 21:32:35.313074+00:00,4,"Not much, just one graffiti",1,2,
177,Patrol object (94),49.284176700,-123.128507900,2021-07-02 21:18:30.344997+00:00,3,Nothing,1,1,
176,Patrol object (94),49.286412200,-123.131142100,2021-07-02 21:08:55.452157+00:00,2,Looks ok,1,2,
175,Patrol object (94),49.280106200,-123.133872600,2021-07-02 20:49:32.384950+00:00,1,Couple graffitis,3,2,
174,Patrol object (93),49.270650100,-123.069756200,2021-07-02 19:20:31.767982+00:00,"Traffic, Graffiti, Cannabis Dispensary","Pedestrians crossing street in traffic, road rage, hot day leads to aggression,",1,5,Traffic related crime/jay walking
166,Patrol object (87),49.267729400,-123.069598400,2021-06-29 21:44:02.755466+00:00,Cornerstore,Abandoned furniture and graffiti on all four corners of intersection,5,5,Michief
165,Patrol object (87),49.265551700,-123.069776200,2021-06-29 21:29:08.284852+00:00,Sidewalk,Sidewalk road side patio along sidewalk,1,5,Litter
132,Patrol object (54),49.267806500,-123.069871800,2021-06-29 02:38:04.661302+00:00,Graffiti,"Graffiti located on wall, dumpster, restaurant
Trash on ground
Alcohol being served on busy patio",2,2,
131,Patrol object (54),49.268345700,-123.067294100,2021-06-29 02:32:37.172534+00:00,Graffiti,"Large graffiti tags in 2 garage doors
Box of wine bottle
 damaged garage door
Street debris",3,2,
130,Patrol object (54),49.266466100,-123.066017600,2021-06-29 02:26:45.802458+00:00,Group of 4 guys sitting in oark,4guys All wearing dark clothes in the park,2,1,
